series_id,value,fips,year
All-Transactions House Price Index,83.51,51073,1993
All-Transactions House Price Index,83.21,51073,1994
All-Transactions House Price Index,85.19,51073,1995
All-Transactions House Price Index,86.72,51073,1996
All-Transactions House Price Index,88.11,51073,1997
All-Transactions House Price Index,92.83,51073,1998
All-Transactions House Price Index,95.75,51073,1999
All-Transactions House Price Index,100,51073,2000
All-Transactions House Price Index,104.24,51073,2001
All-Transactions House Price Index,109.65,51073,2002
All-Transactions House Price Index,115.22,51073,2003
All-Transactions House Price Index,131.49,51073,2004
All-Transactions House Price Index,158.52,51073,2005
All-Transactions House Price Index,182.35,51073,2006
All-Transactions House Price Index,193.38,51073,2007
All-Transactions House Price Index,190.98,51073,2008
All-Transactions House Price Index,181.31,51073,2009
All-Transactions House Price Index,169.5,51073,2010
All-Transactions House Price Index,164.78,51073,2011
All-Transactions House Price Index,158.69,51073,2012
All-Transactions House Price Index,159.12,51073,2013
All-Transactions House Price Index,159.75,51073,2014
All-Transactions House Price Index,161.6,51073,2015
All-Transactions House Price Index,160.51,51073,2016
All-Transactions House Price Index,168.48,51073,2017
All-Transactions House Price Index,168.81,51073,2018
All-Transactions House Price Index,175.8,51073,2019
All-Transactions House Price Index,180.97,51073,2020
All-Transactions House Price Index,199.22,51073,2021
All-Transactions House Price Index,221.95,51073,2022
All-Transactions House Price Index,64.72,51093,1985
All-Transactions House Price Index,64.42,51093,1986
All-Transactions House Price Index,69.17,51093,1987
All-Transactions House Price Index,72.14,51093,1988
All-Transactions House Price Index,75.47,51093,1989
All-Transactions House Price Index,78.63,51093,1990
All-Transactions House Price Index,78,51093,1991
All-Transactions House Price Index,81.5,51093,1992
All-Transactions House Price Index,81.16,51093,1993
All-Transactions House Price Index,83.5,51093,1994
All-Transactions House Price Index,87.78,51093,1995
All-Transactions House Price Index,87.96,51093,1996
All-Transactions House Price Index,90.64,51093,1997
All-Transactions House Price Index,94.02,51093,1998
All-Transactions House Price Index,97.04,51093,1999
All-Transactions House Price Index,100,51093,2000
All-Transactions House Price Index,104.38,51093,2001
All-Transactions House Price Index,111.34,51093,2002
All-Transactions House Price Index,116.98,51093,2003
All-Transactions House Price Index,133.87,51093,2004
All-Transactions House Price Index,163.71,51093,2005
All-Transactions House Price Index,183.34,51093,2006
All-Transactions House Price Index,189.81,51093,2007
All-Transactions House Price Index,187.3,51093,2008
All-Transactions House Price Index,177.63,51093,2009
All-Transactions House Price Index,171.12,51093,2010
All-Transactions House Price Index,163.74,51093,2011
All-Transactions House Price Index,158.19,51093,2012
All-Transactions House Price Index,156.88,51093,2013
All-Transactions House Price Index,158.72,51093,2014
All-Transactions House Price Index,159.99,51093,2015
All-Transactions House Price Index,160.48,51093,2016
All-Transactions House Price Index,168.6,51093,2017
All-Transactions House Price Index,171.2,51093,2018
All-Transactions House Price Index,177.33,51093,2019
All-Transactions House Price Index,181.9,51093,2020
All-Transactions House Price Index,199.3,51093,2021
All-Transactions House Price Index,227.34,51093,2022
All-Transactions House Price Index,36.38,51199,1977
All-Transactions House Price Index,38.13,51199,1978
All-Transactions House Price Index,43.26,51199,1979
All-Transactions House Price Index,48.2,51199,1980
All-Transactions House Price Index,52.04,51199,1981
All-Transactions House Price Index,54.38,51199,1982
All-Transactions House Price Index,54.7,51199,1983
All-Transactions House Price Index,65.1,51199,1984
All-Transactions House Price Index,66.13,51199,1985
All-Transactions House Price Index,70.44,51199,1986
All-Transactions House Price Index,72.47,51199,1987
All-Transactions House Price Index,78.17,51199,1988
All-Transactions House Price Index,81.04,51199,1989
All-Transactions House Price Index,81.3,51199,1990
All-Transactions House Price Index,82.48,51199,1991
All-Transactions House Price Index,84.21,51199,1992
All-Transactions House Price Index,86.39,51199,1993
All-Transactions House Price Index,86.38,51199,1994
All-Transactions House Price Index,87.93,51199,1995
All-Transactions House Price Index,88.27,51199,1996
All-Transactions House Price Index,90.55,51199,1997
All-Transactions House Price Index,93.52,51199,1998
All-Transactions House Price Index,94.96,51199,1999
All-Transactions House Price Index,100,51199,2000
All-Transactions House Price Index,103.89,51199,2001
All-Transactions House Price Index,111.68,51199,2002
All-Transactions House Price Index,117.11,51199,2003
All-Transactions House Price Index,136.56,51199,2004
All-Transactions House Price Index,165.25,51199,2005
All-Transactions House Price Index,186.65,51199,2006
All-Transactions House Price Index,193.32,51199,2007
All-Transactions House Price Index,192.3,51199,2008
All-Transactions House Price Index,185.98,51199,2009
All-Transactions House Price Index,179.45,51199,2010
All-Transactions House Price Index,171.46,51199,2011
All-Transactions House Price Index,166.34,51199,2012
All-Transactions House Price Index,169.04,51199,2013
All-Transactions House Price Index,170.67,51199,2014
All-Transactions House Price Index,173.2,51199,2015
All-Transactions House Price Index,176.22,51199,2016
All-Transactions House Price Index,177.22,51199,2017
All-Transactions House Price Index,182.47,51199,2018
All-Transactions House Price Index,182.77,51199,2019
All-Transactions House Price Index,191.08,51199,2020
All-Transactions House Price Index,201.75,51199,2021
All-Transactions House Price Index,230.43,51199,2022
All-Transactions House Price Index,32.57,51550,1975
All-Transactions House Price Index,33.64,51550,1976
All-Transactions House Price Index,36.6,51550,1977
All-Transactions House Price Index,40.03,51550,1978
All-Transactions House Price Index,43.56,51550,1979
All-Transactions House Price Index,47.51,51550,1980
All-Transactions House Price Index,48.67,51550,1981
All-Transactions House Price Index,50.25,51550,1982
All-Transactions House Price Index,57.77,51550,1983
All-Transactions House Price Index,64.21,51550,1984
All-Transactions House Price Index,66.91,51550,1985
All-Transactions House Price Index,71.44,51550,1986
All-Transactions House Price Index,74.07,51550,1987
All-Transactions House Price Index,77.03,51550,1988
All-Transactions House Price Index,79.33,51550,1989
All-Transactions House Price Index,78.8,51550,1990
All-Transactions House Price Index,79.94,51550,1991
All-Transactions House Price Index,81.39,51550,1992
All-Transactions House Price Index,83.04,51550,1993
All-Transactions House Price Index,85.18,51550,1994
All-Transactions House Price Index,87.57,51550,1995
All-Transactions House Price Index,89.58,51550,1996
All-Transactions House Price Index,91.87,51550,1997
All-Transactions House Price Index,93.86,51550,1998
All-Transactions House Price Index,95.77,51550,1999
All-Transactions House Price Index,100,51550,2000
All-Transactions House Price Index,106.09,51550,2001
All-Transactions House Price Index,113.46,51550,2002
All-Transactions House Price Index,121.96,51550,2003
All-Transactions House Price Index,145,51550,2004
All-Transactions House Price Index,179.95,51550,2005
All-Transactions House Price Index,203.13,51550,2006
All-Transactions House Price Index,209.4,51550,2007
All-Transactions House Price Index,203.5,51550,2008
All-Transactions House Price Index,190.34,51550,2009
All-Transactions House Price Index,181.56,51550,2010
All-Transactions House Price Index,171.7,51550,2011
