id,date,problem,race,gender,location,precinct
17-036337,2017-02-01T00:00:12Z,traffic,White,Male,44.95134737 -93.28133076,5
17-036349,2017-02-01T00:07:38Z,suspicious,Black,Female,44.9474742 -93.29829195,5
17-036351,2017-02-01T00:11:39Z,traffic,Other,Male,44.89233 -93.28067,5
17-036357,2017-02-01T00:18:50Z,suspicious,Latino,Male,45.01497 -93.24734,2
17-036360,2017-02-01T00:22:41Z,traffic,Black,Male,45.00951934 -93.28989378,4
17-036378,2017-02-01T00:39:23Z,suspicious,Unknown,Unknown,44.94047824 -93.26763786,3
17-036380,2017-02-01T00:39:53Z,suspicious,Black,Male,44.9784072 -93.27881908,1
17-036381,2017-02-01T00:40:11Z,traffic,White,Female,44.97429462 -93.27996035,1
17-036388,2017-02-01T00:46:54Z,traffic,Black,Female,44.94659 -93.2797,5
17-036390,2017-02-01T00:48:37Z,traffic,White,Male,44.97526008 -93.26992525,1
17-036391,2017-02-01T00:49:16Z,traffic,East African,Female,44.99228544 -93.30571259,4
17-036400,2017-02-01T00:56:18Z,traffic,Other,Male,44.94660001 -93.28366611,5
17-036407,2017-02-01T01:02:26Z,traffic,White,Male,44.98227009 -93.26310885,1
17-036416,2017-02-01T01:12:52Z,traffic,White,Male,44.98280403 -93.26071318,1
17-036423,2017-02-01T01:18:35Z,traffic,Black,Female,44.9915029 -93.30508811,4
17-036451,2017-02-01T01:54:41Z,traffic,White,Male,44.99163041 -93.25888239,2
17-036452,2017-02-01T01:56:12Z,traffic,White,Male,44.95733 -93.2944,5
17-036455,2017-02-01T01:57:44Z,suspicious,,,44.98246167 -93.27310707,1
17-036482,2017-02-01T02:28:27Z,traffic,White,Female,44.9824886 -93.27080141,1
17-036487,2017-02-01T02:37:05Z,traffic,White,Female,44.98246907 -93.27195424,1
17-036494,2017-02-01T02:46:23Z,suspicious,Unknown,Male,44.93047 -93.25113,3
17-036496,2017-02-01T02:48:41Z,traffic,,,44.94837 -93.24231,3
17-036497,2017-02-01T02:49:20Z,traffic,Black,Male,44.99148869 -93.2453083,2
17-036506,2017-02-01T03:03:49Z,suspicious,Unknown,Male,45.02901185 -93.23291629,2
17-036512,2017-02-01T03:13:52Z,suspicious,Unknown,Unknown,44.94954814 -93.28300416,5
17-036521,2017-02-01T03:26:47Z,traffic,,,44.9377 -93.30221,5
17-036525,2017-02-01T03:32:07Z,suspicious,Black,Male,44.98080862 -93.30387162,4
17-036528,2017-02-01T03:35:02Z,traffic,Unknown,Female,44.96393 -93.28797,5
17-036538,2017-02-01T03:42:04Z,suspicious,White,Male,44.9739943 -93.28488596,1
17-036555,2017-02-01T03:56:01Z,traffic,White,Male,44.94881208 -93.29700406,5
