"","Edition","As","Men","Women","Total","Var.6","link","year"
"1","1896 Summer Olympics","Australia",1,0,1,"Results","http://www.olympedia.org/countries/AUS","1896"
"2","1900 Summer Olympics","Australia",1,0,1,"Results","http://www.olympedia.org/countries/AUS","1900"
"3","1904 Summer Olympics","Australia",1,0,1,"Results","http://www.olympedia.org/countries/AUS","1904"
"4","1920 Summer Olympics","Australia",12,1,13,"Results","http://www.olympedia.org/countries/AUS","1920"
"5","1924 Summer Olympics","Australia",35,1,36,"Results","http://www.olympedia.org/countries/AUS","1924"
"6","1924 Winter Olympics","Australia",1,0,1,"Results","http://www.olympedia.org/countries/AUS","1924"
"7","1928 Summer Olympics","Australia",14,4,18,"Results","http://www.olympedia.org/countries/AUS","1928"
"8","1932 Summer Olympics","Australia",8,4,12,"Results","http://www.olympedia.org/countries/AUS","1932"
"9","1936 Summer Olympics","Australia",28,4,32,"Results","http://www.olympedia.org/countries/AUS","1936"
"10","1936 Winter Olympics","Australia",1,0,1,"Results","http://www.olympedia.org/countries/AUS","1936"
"11","1948 Summer Olympics","Australia",66,9,75,"Results","http://www.olympedia.org/countries/AUS","1948"
"12","1952 Summer Olympics","Australia",71,10,81,"Results","http://www.olympedia.org/countries/AUS","1952"
"13","1952 Winter Olympics","Australia",7,2,9,"Results","http://www.olympedia.org/countries/AUS","1952"
"14","1956 Summer Olympics","Australia",250,44,294,"Results","http://www.olympedia.org/countries/AUS","1956"
"15","1956 Winter Olympics","Australia",7,1,8,"Results","http://www.olympedia.org/countries/AUS","1956"
"16","1956 Equestrian Olympics","Australia",4,0,4,"Results","http://www.olympedia.org/countries/AUS","1956"
"17","1960 Summer Olympics","Australia",160,29,189,"Results","http://www.olympedia.org/countries/AUS","1960"
"18","1960 Winter Olympics","Australia",26,4,30,"Results","http://www.olympedia.org/countries/AUS","1960"
"19","1964 Summer Olympics","Australia",203,40,243,"Results","http://www.olympedia.org/countries/AUS","1964"
"20","1964 Winter Olympics","Australia",3,2,5,"Results","http://www.olympedia.org/countries/AUS","1964"
"21","1968 Summer Olympics","Australia",104,24,128,"Results","http://www.olympedia.org/countries/AUS","1968"
