series_id,value,fips,year
Per Capita Personal Income,3696,51073,1969
Per Capita Personal Income,3916,51073,1970
Per Capita Personal Income,4278,51073,1971
Per Capita Personal Income,4812,51073,1972
Per Capita Personal Income,5115,51073,1973
Per Capita Personal Income,5329,51073,1974
Per Capita Personal Income,5815,51073,1975
Per Capita Personal Income,6493,51073,1976
Per Capita Personal Income,6986,51073,1977
Per Capita Personal Income,7819,51073,1978
Per Capita Personal Income,8297,51073,1979
Per Capita Personal Income,9478,51073,1980
Per Capita Personal Income,10479,51073,1981
Per Capita Personal Income,11231,51073,1982
Per Capita Personal Income,12146,51073,1983
Per Capita Personal Income,13002,51073,1984
Per Capita Personal Income,13650,51073,1985
Per Capita Personal Income,14309,51073,1986
Per Capita Personal Income,14830,51073,1987
Per Capita Personal Income,15574,51073,1988
Per Capita Personal Income,16461,51073,1989
Per Capita Personal Income,17452,51073,1990
Per Capita Personal Income,18376,51073,1991
Per Capita Personal Income,19041,51073,1992
Per Capita Personal Income,19249,51073,1993
Per Capita Personal Income,20265,51073,1994
Per Capita Personal Income,20727,51073,1995
Per Capita Personal Income,21439,51073,1996
Per Capita Personal Income,22351,51073,1997
Per Capita Personal Income,23729,51073,1998
Per Capita Personal Income,24723,51073,1999
Per Capita Personal Income,26224,51073,2000
Per Capita Personal Income,28263,51073,2001
Per Capita Personal Income,29331,51073,2002
Per Capita Personal Income,30922,51073,2003
Per Capita Personal Income,32985,51073,2004
Per Capita Personal Income,34006,51073,2005
Per Capita Personal Income,36632,51073,2006
Per Capita Personal Income,38552,51073,2007
Per Capita Personal Income,40665,51073,2008
Per Capita Personal Income,40491,51073,2009
Per Capita Personal Income,40388,51073,2010
Per Capita Personal Income,41888,51073,2011
Per Capita Personal Income,42491,51073,2012
Per Capita Personal Income,41826,51073,2013
Per Capita Personal Income,42684,51073,2014
Per Capita Personal Income,44309,51073,2015
Per Capita Personal Income,45865,51073,2016
Per Capita Personal Income,46998,51073,2017
Per Capita Personal Income,47364,51073,2018
Per Capita Personal Income,49305,51073,2019
Per Capita Personal Income,52410,51073,2020
Per Capita Personal Income,55944,51073,2021
Per Capita Personal Income,3216,51093,1969
Per Capita Personal Income,3474,51093,1970
Per Capita Personal Income,3715,51093,1971
Per Capita Personal Income,4244,51093,1972
Per Capita Personal Income,4581,51093,1973
Per Capita Personal Income,4961,51093,1974
Per Capita Personal Income,5841,51093,1975
Per Capita Personal Income,6307,51093,1976
Per Capita Personal Income,6973,51093,1977
Per Capita Personal Income,7537,51093,1978
Per Capita Personal Income,8295,51093,1979
Per Capita Personal Income,9697,51093,1980
Per Capita Personal Income,11088,51093,1981
Per Capita Personal Income,11288,51093,1982
Per Capita Personal Income,12134,51093,1983
Per Capita Personal Income,13472,51093,1984
Per Capita Personal Income,14122,51093,1985
Per Capita Personal Income,15024,51093,1986
Per Capita Personal Income,15417,51093,1987
Per Capita Personal Income,16440,51093,1988
Per Capita Personal Income,17496,51093,1989
Per Capita Personal Income,17589,51093,1990
Per Capita Personal Income,18366,51093,1991
Per Capita Personal Income,19390,51093,1992
Per Capita Personal Income,19809,51093,1993
Per Capita Personal Income,20884,51093,1994
Per Capita Personal Income,21498,51093,1995
Per Capita Personal Income,22330,51093,1996
Per Capita Personal Income,23605,51093,1997
Per Capita Personal Income,24804,51093,1998
Per Capita Personal Income,26050,51093,1999
Per Capita Personal Income,28067,51093,2000
Per Capita Personal Income,29423,51093,2001
Per Capita Personal Income,30449,51093,2002
Per Capita Personal Income,32986,51093,2003
Per Capita Personal Income,34824,51093,2004
