"","nj","fte","post"
"1",0,34,0
"2",0,24,0
"3",0,70.5,0
"4",0,23.5,0
"5",0,11,0
"6",0,9,0
"7",0,15.5,0
"8",0,58,0
"9",0,26.5,0
"10",0,28.5,0
"11",0,13.5,0
"12",0,16.75,0
"13",0,9.5,0
"14",0,15,0
"15",0,29.5,0
"16",0,18.5,0
"17",0,20.25,0
"18",0,36,0
"19",0,21,0
"20",0,20.5,0
"21",0,19,0
"22",0,14,0
"23",0,19,0
"24",0,32.5,0
"25",0,27,0
"26",0,19.5,0
"27",0,24,0
"28",0,18,0
"29",0,19,0
"30",0,14,0
"31",0,10.5,0
"32",0,38,0
"33",0,23.5,0
"34",0,10.5,0
"35",0,25,0
"36",0,11,0
"37",0,36.5,0
"38",0,52.5,0
"39",0,45,0
"40",0,22.75,0
"41",0,7.5,0
"42",0,38,0
"43",0,17.5,0
"44",0,25,0
"45",0,21,0
"46",0,15.5,0
"47",0,15.5,0
"48",0,8.5,0
"49",0,18,0
"50",0,39,0
"51",0,41.5,0
"52",0,22.5,0
"53",0,32,0
"54",0,24,0
"55",0,26,0
"56",0,48.5,0
"57",0,8.5,0
"58",0,13,0
"59",0,28,0
"60",0,24.5,0
"61",0,18.5,0
"62",0,15,0
"63",0,18,0
"64",0,20.25,0
"65",0,15.5,0
"66",0,21,0
"67",1,5,0
"68",1,16,0
"69",1,41.5,0
"70",1,13,0
"71",1,10,0
"72",1,15,0
"73",1,26,0
"74",1,18,0
"75",1,35,0
"76",1,21,0
"77",1,34.5,0
"78",1,18.25,0
"79",1,20,0
"80",1,16,0
"81",1,17.5,0
"82",1,20,0
"83",1,12.25,0
"84",1,33,0
"85",1,31.5,0
"86",1,28,0
"87",1,16.5,0
"88",1,14.75,0
"89",1,23.5,0
"90",1,46.5,0
"91",1,15.5,0
"92",1,24.5,0
"93",1,24,0
"94",1,23,0
"95",1,28,0
"96",1,32.5,0
"97",1,23,0
"98",1,17,0
"99",1,30,0
"100",1,21.5,0
"101",1,32,0
"102",1,8,0
"103",1,35.5,0
"104",1,33,0
"105",1,22,0
"106",1,23,0
"107",1,23,0
"108",1,8.5,0
"109",1,12.5,0
"110",1,9.5,0
"111",1,13,0
"112",1,17,0
"113",1,9,0
"114",1,19,0
"115",1,11.5,0
"116",1,13,0
"117",1,48,0
"118",1,45.5,0
"119",1,15,0
"120",1,18,0
"121",1,21,0
"122",1,20.5,0
"123",1,20.5,0
"124",1,17.5,0
"125",1,27.5,0
"126",1,24,0
"127",1,34,0
"128",1,18,0
"129",1,24,0
"130",1,33.5,0
"131",1,12,0
"132",1,35,0
"133",1,35,0
"134",1,16,0
"135",1,15.5,0
"136",1,19,0
"137",1,24,0
"138",1,36,0
"139",1,29,0
"140",1,29,0
"141",1,21.25,0
"142",1,15.5,0
"143",1,19.5,0
"144",1,21,0
"145",1,14,0
"146",1,30.5,0
"147",1,23.5,0
"148",1,14,0
"149",1,14.5,0
"150",1,15.5,0
"151",1,26.5,0
"152",1,5.5,0
"153",1,23.25,0
"154",1,15.5,0
"155",1,32.25,0
"156",1,30,0
"157",1,30.5,0
"158",1,27,0
"159",1,18.5,0
"160",1,38,0
"161",1,16.5,0
"162",1,50,0
"163",1,20.5,0
"164",1,6.5,0
"165",1,13.5,0
"166",1,28,0
"167",1,21.5,0
"168",1,24,0
"169",1,20.5,0
"170",1,23.5,0
"171",1,23,0
"172",1,17,0
"173",1,20.5,0
"174",1,23.5,0
"175",1,9.5,0
