"player_id","HT","TC","EXP","REF","AGG","INJ"
1,1,5,11,0.55,12.1572240463553,0.647091315795097
2,0,2,6,0.4,-6.25439268089727,0.343875469198893
3,1,3,5,0.2,8.11568023925748,0.586784152623796
4,0,3,2,0.95,-10.2177540839635,0.29836373692496
5,0,0,5,0.34,-3.86628008612731,0.703251153695429
6,1,2,6,0.74,3.26320911549926,0.52398704727502
7,1,1,14,0.81,0.375071216712692,0.374383081208805
8,1,0,9,0.76,-5.55669250609033,0.222505593525689
9,1,5,1,0.85,13.9899748326535,0.850770479590241
10,1,0,1,0.05,0.080520002844878,0.727842075328681
11,1,3,12,0.78,4.75924641314953,0.50002304838727
12,1,4,11,0.74,6.26204838054516,0.719613729930243
13,1,0,4,0.56,5.27854798245798,0.77800539181327
14,1,0,11,0.91,-7.17543551152044,0.0959829043157372
15,0,2,12,0.46,-7.19855838966795,0.48596045533386
16,0,5,6,0.71,1.22538293885873,0.37559091540208
17,1,2,1,0.12,13.2902707925829,0.991779737404991
18,0,3,14,0.02,-4.47919499718074,0.696328224201297
19,1,2,14,0.54,1.34820233755545,0.495167593327002
20,1,5,2,0.12,20.0872690683356,0.876594021700329
21,1,2,8,0.13,7.50150090562335,0.641668275071038
22,0,0,14,0.61,-8.5371994147495,0.32222710267748
23,1,2,4,0.19,6.65679293428075,0.679914850042795
24,0,3,10,0.96,-12.3610561165428,0.247761815204909
25,0,4,15,0.74,-3.502833513806,0.413357992099461
26,1,0,9,0.19,4.19780937116454,0.550186588365133
27,1,5,1,0.85,10.4371244876523,0.489292782872466
28,1,3,11,0.81,0.939355650750203,0.323389997524049
29,0,5,14,0.79,-4.80924003734427,0.35415121248929
30,0,1,14,0.31,-6.28045367368796,0.354458594246575
31,1,4,3,0.53,10.1542367242499,0.778385643577557
32,0,4,15,0.48,-5.16712381122028,0.471125127523706
33,1,4,12,0.81,8.04481981554009,0.599151518301714
34,0,2,10,0.44,-6.66437855476691,0.524654386433916
35,1,4,15,0.2,8.38405378656974,0.534262644278789
36,0,4,6,0.07,3.28179425501249,0.631535764279496
37,0,5,7,0.08,6.47433242312395,0.903181180218555
38,1,3,12,0.83,0.706439285811833,0.221521822566396
39,0,1,1,0.89,-5.91058531014192,0.382244000748552
40,1,1,4,0.81,6.00937358375522,0.709130008923142
41,1,1,5,0.6,4.99451000213879,0.62727766577692
42,1,5,10,0.73,3.59707609087946,0.501599378092373
43,0,4,12,0.74,-2.25062718794191,0.387037562147138
44,1,2,8,0.74,0.272086808558786,0.449549428949317
45,1,0,7,0.05,7.39628292018039,0.603557691616554
46,0,1,10,0.11,-1.31287346337211,0.685673947401115
47,0,0,13,0.57,-10.7356654603835,0.428653511193561
48,0,2,13,0.81,-10.8362325133204,0.346975749238089
49,0,0,10,0.91,-12.6856684489908,0.256943664493939
50,0,2,9,0.79,-13.1611117675571,0.264360947805099
51,0,5,1,0.93,3.22404445359356,0.609689474545843
52,0,5,8,0.72,-1.89292509494292,0.703635239946311
53,1,0,15,0.83,-3.17357856419276,0.388345996997277
54,0,2,10,0.43,-5.27048494858612,0.438819891186773
55,1,3,7,0.32,9.49781381854759,0.720400958260922
56,1,3,7,0.1,12.4654821847266,0.660512977745536
57,0,5,6,0.99,-4.88086906661854,0.434830047592204
58,0,3,8,0.89,-7.10970214440953,0.186366001289503
59,0,2,10,0.11,-2.29172324463645,0.647335524074418
60,1,5,10,0.6,12.6759071527301,0.79216321342374
61,1,0,5,0.37,4.51879570772147,0.36116970730568
62,0,3,2,0.24,-1.0409499773554,0.35187555917274
63,0,3,8,0.81,-2.25052470291955,0.259087531750388
64,0,4,1,0.6,6.11729492553532,0.747803548874222
65,1,3,4,0.66,5.44118544429932,0.62286741282483
66,1,3,8,0.73,3.70301317282398,0.622219841081263
67,0,2,4,0.84,-5.05863418376261,0.533759915409562
68,0,4,6,0.27,2.29561902194346,0.474065187934023
69,0,2,1,0.75,-4.00759990269803,0.465611982295074
70,1,0,13,0.5,2.85762855990168,0.44853601547886
71,1,4,4,0.48,11.1637653534935,0.54585905946879
72,1,4,4,0.5,13.9963530148795,0.928907204293515
73,0,2,2,0.34,-0.232354335013311,0.874755565751476
74,1,5,4,0.96,5.48482504580488,0.681975940992315
75,1,1,4,0.08,8.97340802227792,0.762285116230713
76,0,4,13,0.01,3.00181661787335,0.706907345552202
77,0,4,15,0.02,1.96852150114559,0.392905452123003
78,0,5,7,0.1,4.93667485627186,0.843808116037684
79,0,3,15,0.85,-7.19160812683382,0
80,0,4,15,0.18,-2.03024085503939,0.588161758615026
81,1,4,15,0.35,8.70508875701477,0.658423448948017
82,1,2,10,0.27,2.22248838645619,0.442391939325931
83,1,3,3,0.11,11.7408577579326,0.713144433088165
84,1,3,1,0.74,6.36825545483017,0.585309587703861
85,1,1,13,0.75,2.61626264688197,0.246205769009366
86,0,2,6,0.63,-9.61181326635444,0.530908018116998
87,1,3,4,0.45,8.30911316692855,0.571298050991442
88,1,2,11,0.67,0.587761225823834,0.562348218431149
89,1,3,13,0.66,-1.57379842747547,0.639926051480334
90,0,1,15,0.59,-13.4360564652041,0.292302198127265
91,1,5,2,0.87,11.5186264047015,0.772065921696787
92,0,4,7,0.11,4.54063256771148,0.488812321597138
93,0,1,15,0.17,-3.7265394306941,0.236594931899431
94,1,2,14,0.23,1.94940951226323,0.316790921815235
95,1,2,10,0.07,8.27378706943554,0.600735837498244
96,0,2,13,0.18,0.64797816362938,0.706120436305212
97,1,0,3,0.77,2.5783534510529,0.527873378605486
98,0,3,4,0.53,0.743223943004859,0.621509730207809
99,1,3,4,0.99,4.08783273946567,0.344908894013396
100,1,2,14,0.97,-4.53793753426091,0.157725927640261
101,1,5,7,0.77,5.21575967150163,0.489574774372534
102,0,2,11,0.64,-5.10178192153106,0.436184104274893
103,0,2,10,0.37,-3.87099881345016,0.578985658002721
104,1,5,13,0.18,9.24057361117483,0.766252934174685
105,0,0,9,0.49,-7.80826874009841,0.351470842501217
106,0,5,2,0.04,6.87422644562124,0.867524502367811
