Year,RU,F_System,State,Mileage,Lane_Miles,VMT,Fatalities
1980,Rural,Interstate,Alabama,634,2479,2407000000,45
1980,Rural,Interstate,Alaska,0,2234,0,0
1980,Rural,Interstate,Arizona,1029,1729,3129000000,91
1980,Rural,Interstate,Arkansas,429,4117,1974000000,29
1980,Rural,Interstate,California,1471,6741,8842000000,233
1980,Rural,Interstate,Colorado,802,3203,2666000000,64
1980,Rural,Interstate,Connecticut,80,369,808000000,9
1980,Rural,Interstate,Delaware,7,0,149000000,5
1980,Rural,Interstate,District of Columbia,0,41,0,0
1980,Rural,Interstate,Florida,1016,3818,4581000000,74
1980,Rural,Interstate,Georgia,933,3801,6189000000,101
1980,Rural,Interstate,Hawaii,14,68,152000000,3
1980,Rural,Interstate,Idaho,559,5218,1173000000,32
1980,Rural,Interstate,Illinois,1289,3486,4960000000,60
1980,Rural,Interstate,Indiana,853,2453,5357000000,65
1980,Rural,Interstate,Iowa,612,2114,2125000000,29
1980,Rural,Interstate,Kansas,669,2674,1646000000,24
1980,Rural,Interstate,Kentucky,597,2411,3537000000,35
1980,Rural,Interstate,Louisiana,536,2175,2744000000,47
1980,Rural,Interstate,Maine,280,882,547000000,10
1980,Rural,Interstate,Maryland,201,988,2192000000,33
1980,Rural,Interstate,Massachusetts,180,1153,1362000000,10
1980,Rural,Interstate,Michigan,702,3026,3776000000,30
1980,Rural,Interstate,Minnesota,703,2705,2063000000,20
1980,Rural,Interstate,Mississippi,590,3294,1865000000,30
1980,Rural,Interstate,Missouri,833,2254,3515000000,47
1980,Rural,Interstate,Montana,1121,4162,1318000000,49
1980,Rural,Interstate,Nebraska,448,719,1342000000,16
1980,Rural,Interstate,Nevada,462,2519,991000000,60
1980,Rural,Interstate,New Hampshire,164,606,727000000,9
1980,Rural,Interstate,New Jersey,111,3505,1023000000,7
1980,Rural,Interstate,New Mexico,910,3602,2193000000,72
1980,Rural,Interstate,New York,880,2144,4215000000,31
1980,Rural,Interstate,North Carolina,629,1788,3621000000,62
1980,Rural,Interstate,North Dakota,537,1862,706000000,5
1980,Rural,Interstate,Ohio,881,3569,6696000000,45
1980,Rural,Interstate,Oklahoma,667,2679,2876000000,62
1980,Rural,Interstate,Oregon,585,2392,2495000000,26
1980,Rural,Interstate,Pennsylvania,1178,4698,7130000000,73
1980,Rural,Interstate,Rhode Island,28,38,150000000,4
1980,Rural,Interstate,South Carolina,624,2596,2895000000,46
1980,Rural,Interstate,South Dakota,622,2478,1163000000,9
1980,Rural,Interstate,Tennessee,836,3393,5048000000,81
1980,Rural,Interstate,Texas,2273,9060,8365000000,253
1980,Rural,Interstate,Utah,677,2670,1430000000,43
1980,Rural,Interstate,Vermont,302,3164,676000000,4
1980,Rural,Interstate,Virginia,773,1207,4272000000,53
1980,Rural,Interstate,Washington,443,1970,2574000000,30
1980,Rural,Interstate,West Virginia,390,1896,1300000000,26
1980,Rural,Interstate,Wisconsin,461,1435,2709000000,13
1980,Rural,Interstate,Wyoming,884,3395,1410000000,58
1980,Rural,Other Principal Arterial,Alabama,2045,5176,3316000000,144
1980,Rural,Other Principal Arterial,Alaska,1020,103,315000000,13
1980,Rural,Other Principal Arterial,Arizona,1281,4029,1363000000,81
1980,Rural,Other Principal Arterial,Arkansas,1873,2766,2400000000,90
1980,Rural,Other Principal Arterial,California,2995,9155,10191000000,672
1980,Rural,Other Principal Arterial,Colorado,1953,4704,2425000000,98
1980,Rural,Other Principal Arterial,Connecticut,278,792,972000000,24
1980,Rural,Other Principal Arterial,Delaware,163,0,682000000,36
1980,Rural,Other Principal Arterial,District of Columbia,0,558,0,0
1980,Rural,Other Principal Arterial,Florida,2819,8345,8070000000,384
1980,Rural,Other Principal Arterial,Georgia,2726,5915,3524000000,164
1980,Rural,Other Principal Arterial,Hawaii,55,182,254000000,21
1980,Rural,Other Principal Arterial,Idaho,1617,1032,1168000000,68
1980,Rural,Other Principal Arterial,Illinois,226,3294,445000000,404
1980,Rural,Other Principal Arterial,Indiana,1124,6608,2933000000,305
1980,Rural,Other Principal Arterial,Iowa,3092,4124,3209000000,120
1980,Rural,Other Principal Arterial,Kansas,3313,7269,3003000000,117
1980,Rural,Other Principal Arterial,Kentucky,1460,4374,2720000000,71
1980,Rural,Other Principal Arterial,Louisiana,1132,2836,2201000000,120
1980,Rural,Other Principal Arterial,Maine,773,733,1147000000,28
1980,Rural,Other Principal Arterial,Maryland,417,1590,2224000000,55
1980,Rural,Other Principal Arterial,Massachusetts,268,1788,1081000000,23
1980,Rural,Other Principal Arterial,Michigan,2412,5858,4751000000,140
1980,Rural,Other Principal Arterial,Minnesota,3415,8183,3922000000,133
1980,Rural,Other Principal Arterial,Mississippi,1413,5003,2219000000,100
1980,Rural,Other Principal Arterial,Missouri,2050,4105,3315000000,131
