"city","state","division","app_funds_pc50","years_potential_participation_UR","pop50","pop80","med_prop_val50","med_prop_val80","med_fam_inc50","med_fam_inc80","emp_rate50","emp_rate80","pov_rate80","owner_occ_pct50","dilap_pct50","units_old_pct50","no_plumbing_pct50","crowded_units_pct50","nonwhite_pct50","manuf_pct50","median_school50","income_2k_pct50"
"ANNISTON","AL",32,0,25,31066,29523,5041,29500,2574,14633,94.6795806884766,89.4759750366211,18.0251579284668,47,1007,41.2558670043945,46.5450210571289,25.093677520752,30.5,34.2999992370605,8.39999961853027,34
"BESSEMER","AL",32,88.8996658325195,25,28445,31729,4063,29000,2304,14448,90.1266479492188,90.5082092285156,20.7601642608643,40.0999984741211,1792,38.0375518798828,67.3162155151367,29.9119491577148,60.7000007629395,27,7.69999980926514,39.2999992370605
"BIRMINGHAM","AL",32,93.0295181274414,25,326037,284413,6552,31300,2826,15210,95.2008972167969,91.3256301879883,17.7066497802734,46.7999992370605,12870,39.1706047058105,43.3036422729492,21.2017707824707,39.9000015258789,25.1000003814697,9.39999961853027,31.1000003814697
"GADSDEN","AL",32,31.8731269836426,25,55725,47565,5647,25500,2773,15448,94.0785598754883,91.1203460693359,14.002254486084,45.9000015258789,2287,22.3510971069336,42.0574607849121,20.4827003479004,19.3999996185303,46.5,8.80000019073486,30.1000003814697
"MOBILE","AL",32,338.156280517578,25,129009,200452,6158,38600,2800,17728,90.8713989257812,93.0477066040039,14.8481464385986,48.2999992370605,5521,36.0327072143555,41.1625022888184,22.8030815124512,35.5999984741211,14.6999998092651,9.60000038146973,33.5999984741211
"MONTGOMERY","AL",32,156.624282836914,25,106525,177857,7509,39400,2658,18049,96.3293228149414,93.4032211303711,14.6571636199951,40.0999984741211,5596,33.7582626342773,39.9665451049805,21.4576377868652,39.9000015258789,11.1000003814697,10.1999998092651,37.2000007629395
"TUSCALOOSA","AL",32,109.748832702637,25,46396,75211,6394,39500,2333,16662,96.7616958618164,91.8690338134766,17.025915145874,42.2999992370605,1638,21.3130359649658,38.4749450683594,19.4075202941895,26.7000007629395,20.2999992370605,9.60000038146973,41.2999992370605
"PHOENIX","AZ",41,20.046199798584,20,106818,789704,7939,56300,3195,20365,92.6102523803711,94.4460754394531,8.07643795013428,51,3004,15.5605134963989,16.8002071380615,13.5463733673096,6.19999980926514,9.5,11.6000003814697,27.3999996185303
"TUCSON","AZ",41,414.481994628906,20,45454,330537,9922,50400,3110,17395,93.1304321289062,93.4907684326172,10.2292385101318,48.2999992370605,1766,26.9636173248291,17.1682529449463,15.7464809417725,7.5,4.59999990463257,11.8000001907349,28.5
"FORT SMITH","AR",33,16.6588382720947,25,47942,71626,5981,32700,2628,16977,93.7791213989258,94.3017807006836,10.4697847366333,63.2999992370605,1505,41.3946113586426,29.8772392272949,13.4162931442261,8.60000038146973,21.8999996185303,10,32.9000015258789
"HOT SPRINGS","AR",33,51.3149757385254,25,29307,35781,5654,30600,2347,14180,94.9928741455078,92.9881210327148,13.8765382766724,47.2999992370605,1259,40.9981346130371,38.8918495178223,14.4809322357178,17.3999996185303,6.90000009536743,9.80000019073486,42
"LITTLE ROCK","AR",33,421.227752685547,25,102213,158461,7413,43000,3068,19397,96.3689651489258,94.9506530761719,10.0562057495117,51.5,4164,41.9751129150391,25.3874435424805,13.8999280929565,23,12.8999996185303,11.8999996185303,29
"NORTH LITTLE ROCK","AR",33,671.253662109375,25,44097,64288,6061,37100,2526,18568,95.5970687866211,95.4060134887695,9.48959255218506,53.5,1825,22.0722503662109,36.5519523620605,20.7666454315186,24.8999996185303,15.3999996185303,9.30000019073486,36.5999984741211
"PINE BLUFF","AR",33,160.399551391602,25,37162,56636,3796,26800,2188,15260,92.9141311645508,91.9160461425781,19.3758563995361,54.9000015258789,3562,36.7194366455078,44.7274398803711,18.9473686218262,43.7000007629395,13.8999996185303,9.30000019073486,46.2999992370605
"ALAMEDA","CA",42,0,25,64430,63852,11043,99600,3828,21693,89.8385009765625,95.2433166503906,6.62259912490845,39.0999984741211,283,42.9360885620117,3.91965317726135,9.8045072555542,9.80000019073486,16.7999992370605,12.1000003814697,15.3000001907349
"ALHAMBRA","CA",42,0,25,51359,64615,11921,85600,4063,20065,95.3323364257812,96.0088272094727,8.9285717010498,64.5999984741211,182,13.6073312759399,1.74255657196045,3.68112134933472,0.400000005960464,24.1000003814697,12.1999998092651,16.3999996185303
"BAKERSFIELD","CA",42,0,25,34784,105611,9337,65100,4374,21578,91.7952651977539,94.8902740478516,9.42659664154053,59.2999992370605,618,29.8237476348877,5.9050874710083,9.03429698944092,6.19999980926514,6.90000009536743,11.5,12.6999998092651
"BERKELEY","CA",42,48.2509117126465,25,113805,103328,12290,96400,4084,20360,93.4026718139648,93.2018127441406,11.7180299758911,47.5999984741211,819,40.5946006774902,4.02398872375488,6.35652923583984,15.3999996185303,16.5,12.6999998092651,14.8999996185303
"BEVERLY HILLS","CA",42,0,25,29032,32367,20000,NA,6489,40300,94.6010055541992,95.9910125732422,6.35011434555054,47,47,0.592525064945221,0.195689782500267,1.21565997600555,3.29999995231628,13.1000003814697,12.6999998092651,13.5
"BURBANK","CA",42,0,25,78577,84625,11585,94400,4039,22504,94.5423355102539,95.7529525756836,5.8614330291748,68,372,3.59697937965393,5.47911071777344,7.98613929748535,0.200000002980232,29.7000007629395,12.3000001907349,13.1999998092651
"COMPTON","CA",42,117.136817932129,25,47991,81286,8920,45900,3761,14292,93.9443283081055,87.6262893676758,23.8193683624268,67.9000015258789,277,2.88896632194519,3.69269990921021,12.0967168807983,4.80000019073486,32,12,15.3000001907349
"FRESNO","CA",42,583.590698242188,25,91669,218202,8570,60300,3757,17720,91.7390518188477,92.1701507568359,12.5946130752563,65.3000030517578,1683,26.7537822723389,8.9193754196167,9.07575511932373,7.80000019073486,11.8000001907349,11.5,19.3999996185303
"GLENDALE","CA",42,0,25,95702,139060,13348,117400,4112,21778,95.1703720092773,95.9114990234375,7.98644590377808,54.2999992370605,339,12.3602123260498,2.25340986251831,4.27254772186279,0.300000011920929,24.5,12.3999996185303,16.8999996185303
"HUNTINGTON PARK","CA",42,0,25,29450,46223,9526,62700,3770,12568,94.6917572021484,90.9225234985352,20.411792755127,38.7999992370605,198,10.3030300140381,3.10950994491577,5.36747932434082,0.100000001490116,40.5999984741211,11.6999998092651,17.7000007629395
"INGLEWOOD","CA",42,105.420745849609,25,46185,94245,11277,71800,4161,17370,95.2703018188477,93.250373840332,12.9982671737671,63.5999984741211,310,7.74278211593628,2.7496645450592,5.90512418746948,0.300000011920929,33.0999984741211,12.1999998092651,13.8000001907349
"LONG BEACH","CA",42,9.82015132904053,25,250767,361334,9202,82100,3605,19650,92.0473861694336,94.1737518310547,10.7308101654053,44.9000015258789,1284,17.5492572784424,3.52099657058716,6.86284303665161,2.59999990463257,22.5,12.1000003814697,20.2000007629395
"LOS ANGELES","CA",42,59.1176986694336,25,1970358,2966850,10821,96100,3575,19467,91.453369140625,93.2319259643555,12.9568109512329,45.7999992370605,25165,23.1191387176514,7.32246112823486,10.004301071167,10.6999998092651,22.8999996185303,12,21.2000007629395
